timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672065959404,270,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-17,text,true,,931,413,93,93,https://market-final-project.herokuapp.com/buyer/product/28172,270,0,0
1672065958765,1025,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-55,text,false,"The operation lasted too long: It took 1,025 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1025,0,0
1672065958774,1043,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-8,text,false,"The operation lasted too long: It took 1,043 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1043,0,0
1672065958767,1088,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-4,text,false,"The operation lasted too long: It took 1,088 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1088,0,0
1672065958776,1133,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-52,text,false,"The operation lasted too long: It took 1,133 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1133,0,0
1672065959457,496,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-28,text,true,,4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,496,0,0
1672065959457,503,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-97,text,true,,4903,440,93,93,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,503,0,0
1672065958954,1091,PUT BUYER ORDER BY BUYER ORDER ID,404,Not Found,Thread Group Normal Test 1-15,text,false,"The operation lasted too long: It took 1,091 milliseconds, but should not have lasted longer than 1,000 milliseconds.",464,454,93,93,https://market-final-project.herokuapp.com/buyer/order/,1091,0,0
1672065958783,1273,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-2,text,false,"The operation lasted too long: It took 1,273 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,92,92,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1270,0,0
1672065959056,1009,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-25,text,false,"The operation lasted too long: It took 1,009 milliseconds, but should not have lasted longer than 1,000 milliseconds.",931,413,92,92,https://market-final-project.herokuapp.com/buyer/product/28172,1009,0,0
1672065959481,602,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-41,text,true,,276,405,92,92,https://market-final-project.herokuapp.com/buyer/order,602,0,0
1672065959465,626,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-62,text,true,,4903,440,92,92,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,626,0,0
1672065959481,616,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-27,text,false,,349,482,92,92,https://market-final-project.herokuapp.com/buyer/order,616,0,0
1672065955187,4914,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-22,text,false,"The operation lasted too long: It took 4,914 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,92,92,https://market-final-project.herokuapp.com/seller/product/44104,4914,0,0
1672065957129,2976,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-21,text,false,"The operation lasted too long: It took 2,976 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,92,92,https://market-final-project.herokuapp.com/seller/product/44162,2975,0,0
1672065959480,634,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-38,text,false,,349,482,92,92,https://market-final-project.herokuapp.com/buyer/order,634,0,0
1672065957524,2594,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-69,text,false,"The operation lasted too long: It took 2,594 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,92,92,https://market-final-project.herokuapp.com/seller/product/44180,2594,0,0
1672065959417,704,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-33,text,true,,322,436,92,92,https://market-final-project.herokuapp.com/seller/product/44177,704,0,0
1672065959486,640,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-11,text,false,,349,482,92,92,https://market-final-project.herokuapp.com/buyer/order,640,0,0
1672065957427,2703,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-75,text,false,"The operation lasted too long: It took 2,703 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,92,92,https://market-final-project.herokuapp.com/seller/product/44178,2703,0,0
1672065959467,667,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-24,text,true,,322,436,92,92,https://market-final-project.herokuapp.com/seller/product/44157,667,0,0
1672065958929,1209,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-44,text,false,"The operation lasted too long: It took 1,209 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,92,92,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1209,0,0
1672065957431,2710,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-30,text,false,"The operation lasted too long: It took 2,710 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,92,92,https://market-final-project.herokuapp.com/seller/product/44176,2710,0,0
1672065955312,4831,PUT BUYER ORDER BY BUYER ORDER ID,200,OK,Thread Group Normal Test 1-9,text,false,"The operation lasted too long: It took 4,831 milliseconds, but should not have lasted longer than 1,000 milliseconds.",696,459,92,92,https://market-final-project.herokuapp.com/buyer/order/17303,4831,0,0
1672065959467,680,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-74,text,true,,322,436,91,91,https://market-final-project.herokuapp.com/seller/product/44194,680,0,0
1672065959140,1007,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-82,text,false,"The operation lasted too long: It took 1,007 milliseconds, but should not have lasted longer than 1,000 milliseconds.",931,413,91,91,https://market-final-project.herokuapp.com/buyer/product/28172,1007,0,0
1672065955459,4695,DELETE SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-53,text,false,"The operation lasted too long: It took 4,695 milliseconds, but should not have lasted longer than 1,000 milliseconds.",322,436,91,91,https://market-final-project.herokuapp.com/seller/product/44107,4695,0,0
1672065957277,2886,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-63,text,false,"The operation lasted too long: It took 2,886 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,91,91,https://market-final-project.herokuapp.com/seller/product/44170,2886,0,0
1672065957737,2428,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-77,text,false,"The operation lasted too long: It took 2,428 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,91,91,https://market-final-project.herokuapp.com/seller/product/44196,2428,0,0
1672065959018,1147,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-78,text,false,"The operation lasted too long: It took 1,147 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4903,440,91,91,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,1147,0,0
